dataset,problem_type,model,seed,method,track,representation_id,member,is_reference,split,selected_lr_multiplier,selected_learning_rate,task_error,disagreement,fit_seconds
bike-sharing,regression,controlled_mlp,0,BlockAdam+DataInit,optimizer_equal_hpo,orthogonal_all__m5,5,False,test,2.0,0.002,81.99566710557933,9.477845244648986e-07,0.4883042308501899
bike-sharing,regression,controlled_mlp,0,BlockAdam+DataInit,optimizer_equal_hpo,orthogonal_all__m6,6,False,validation,2.0,0.002,75.14879684859375,1.4093887743061784e-06,0.5119800539687276
bike-sharing,regression,controlled_mlp,0,BlockAdam+DataInit,optimizer_equal_hpo,orthogonal_all__m6,6,False,test,2.0,0.002,81.99567750815596,1.4336631472020165e-06,0.5119800539687276
bike-sharing,regression,controlled_mlp,0,BlockAdam+DataInit,optimizer_equal_hpo,orthogonal_all__m7,7,False,validation,2.0,0.002,75.14879976705068,7.768851234535656e-07,0.5433937818743289
bike-sharing,regression,controlled_mlp,0,BlockAdam+DataInit,optimizer_equal_hpo,orthogonal_all__m7,7,False,test,2.0,0.002,81.9956265740715,8.027568903811975e-07,0.5433937818743289
bike-sharing,regression,controlled_mlp,0,MatrixAdam+DataInit,optimizer_equal_hpo,rbf_reference,-1,True,validation,2.0,0.002,68.11304080143837,0.0,1.135129992151633
bike-sharing,regression,controlled_mlp,0,MatrixAdam+DataInit,optimizer_equal_hpo,rbf_reference,-1,True,test,2.0,0.002,70.74016203380945,0.0,1.135129992151633
bike-sharing,regression,controlled_mlp,0,MatrixAdam+DataInit,optimizer_equal_hpo,orthogonal_all__m0,0,False,validation,2.0,0.002,68.11303115731681,1.0174798353944027e-06,1.1311693750321865
bike-sharing,regression,controlled_mlp,0,MatrixAdam+DataInit,optimizer_equal_hpo,orthogonal_all__m0,0,False,test,2.0,0.002,70.74015410538402,1.05847552659593e-06,1.1311693750321865
bike-sharing,regression,controlled_mlp,0,MatrixAdam+DataInit,optimizer_equal_hpo,orthogonal_all__m1,1,False,validation,2.0,0.002,68.11302152453352,7.609864176872597e-07,1.1480592358857393
bike-sharing,regression,controlled_mlp,0,MatrixAdam+DataInit,optimizer_equal_hpo,orthogonal_all__m1,1,False,test,2.0,0.002,70.74014453217251,7.270282858609215e-07,1.1480592358857393
bike-sharing,regression,controlled_mlp,0,MatrixAdam+DataInit,optimizer_equal_hpo,orthogonal_all__m2,2,False,validation,2.0,0.002,68.11304120249653,8.82505986508857e-07,1.0930855700280517
bike-sharing,regression,controlled_mlp,0,MatrixAdam+DataInit,optimizer_equal_hpo,orthogonal_all__m2,2,False,test,2.0,0.002,70.74015050017076,9.79644985766413e-07,1.0930855700280517
bike-sharing,regression,controlled_mlp,0,MatrixAdam+DataInit,optimizer_equal_hpo,orthogonal_all__m3,3,False,validation,2.0,0.002,68.11302545956084,5.956557556710719e-07,1.1056486340239644
bike-sharing,regression,controlled_mlp,0,MatrixAdam+DataInit,optimizer_equal_hpo,orthogonal_all__m3,3,False,test,2.0,0.002,70.74015979080565,5.657768423345351e-07,1.1056486340239644
bike-sharing,regression,controlled_mlp,0,MatrixAdam+DataInit,optimizer_equal_hpo,orthogonal_all__m4,4,False,validation,2.0,0.002,68.11303371966459,7.362090613463024e-07,1.1443069318775088
bike-sharing,regression,controlled_mlp,0,MatrixAdam+DataInit,optimizer_equal_hpo,orthogonal_all__m4,4,False,test,2.0,0.002,70.74014673364994,7.797398206012328e-07,1.1443069318775088
bike-sharing,regression,controlled_mlp,0,MatrixAdam+DataInit,optimizer_equal_hpo,orthogonal_all__m5,5,False,validation,2.0,0.002,68.11304164273812,6.35911310713658e-07,1.1303636999800801
bike-sharing,regression,controlled_mlp,0,MatrixAdam+DataInit,optimizer_equal_hpo,orthogonal_all__m5,5,False,test,2.0,0.002,70.74016176172742,6.36492707733301e-07,1.1303636999800801
bike-sharing,regression,controlled_mlp,0,MatrixAdam+DataInit,optimizer_equal_hpo,orthogonal_all__m6,6,False,validation,2.0,0.002,68.11303324644751,8.028912124100542e-07,1.141793736955151
bike-sharing,regression,controlled_mlp,0,MatrixAdam+DataInit,optimizer_equal_hpo,orthogonal_all__m6,6,False,test,2.0,0.002,70.74014878258902,9.288903667322024e-07,1.141793736955151
bike-sharing,regression,controlled_mlp,0,MatrixAdam+DataInit,optimizer_equal_hpo,orthogonal_all__m7,7,False,validation,2.0,0.002,68.11305016155501,7.349817897093063e-07,1.1678655168507248
bike-sharing,regression,controlled_mlp,0,MatrixAdam+DataInit,optimizer_equal_hpo,orthogonal_all__m7,7,False,test,2.0,0.002,70.74014747867598,8.034255445251881e-07,1.1678655168507248
bike-sharing,regression,controlled_mlp,0,SoftBlockAdam-a0.1+DataInit,optimizer_equal_hpo,rbf_reference,-1,True,validation,2.0,0.002,73.33679446201855,0.0,0.6551248501054943
bike-sharing,regression,controlled_mlp,0,SoftBlockAdam-a0.1+DataInit,optimizer_equal_hpo,rbf_reference,-1,True,test,2.0,0.002,80.57321626751916,0.0,0.6551248501054943
bike-sharing,regression,controlled_mlp,0,SoftBlockAdam-a0.1+DataInit,optimizer_equal_hpo,orthogonal_all__m0,0,False,validation,2.0,0.002,75.29489497661464,0.1121695006440186,0.547240667976439
bike-sharing,regression,controlled_mlp,0,SoftBlockAdam-a0.1+DataInit,optimizer_equal_hpo,orthogonal_all__m0,0,False,test,2.0,0.002,82.87242051160128,0.10967493152839744,0.547240667976439
bike-sharing,regression,controlled_mlp,0,SoftBlockAdam-a0.1+DataInit,optimizer_equal_hpo,orthogonal_all__m1,1,False,validation,2.0,0.002,75.30061937518383,0.11389827438555886,0.5616123550571501
bike-sharing,regression,controlled_mlp,0,SoftBlockAdam-a0.1+DataInit,optimizer_equal_hpo,orthogonal_all__m1,1,False,test,2.0,0.002,82.57767952035641,0.1112711777253809,0.5616123550571501
bike-sharing,regression,controlled_mlp,0,SoftBlockAdam-a0.1+DataInit,optimizer_equal_hpo,orthogonal_all__m2,2,False,validation,2.0,0.002,73.17680130703326,0.006640586983354342,0.6897772760130465
bike-sharing,regression,controlled_mlp,0,SoftBlockAdam-a0.1+DataInit,optimizer_equal_hpo,orthogonal_all__m2,2,False,test,2.0,0.002,80.64267679787828,0.007175433766690652,0.6897772760130465
bike-sharing,regression,controlled_mlp,0,SoftBlockAdam-a0.1+DataInit,optimizer_equal_hpo,orthogonal_all__m3,3,False,validation,2.0,0.002,73.23793832165293,0.01125427179033361,0.5896687649656087
bike-sharing,regression,controlled_mlp,0,SoftBlockAdam-a0.1+DataInit,optimizer_equal_hpo,orthogonal_all__m3,3,False,test,2.0,0.002,80.91786242255878,0.012383950547831132,0.5896687649656087
bike-sharing,regression,controlled_mlp,0,SoftBlockAdam-a0.1+DataInit,optimizer_equal_hpo,orthogonal_all__m4,4,False,validation,2.0,0.002,75.44527037600325,0.11349558680365777,0.5353216850198805
bike-sharing,regression,controlled_mlp,0,SoftBlockAdam-a0.1+DataInit,optimizer_equal_hpo,orthogonal_all__m4,4,False,test,2.0,0.002,83.08319047563995,0.1109927085076733,0.5353216850198805
bike-sharing,regression,controlled_mlp,0,SoftBlockAdam-a0.1+DataInit,optimizer_equal_hpo,orthogonal_all__m5,5,False,validation,2.0,0.002,75.45816604045382,0.1124920984443164,0.6002236241474748
bike-sharing,regression,controlled_mlp,0,SoftBlockAdam-a0.1+DataInit,optimizer_equal_hpo,orthogonal_all__m5,5,False,test,2.0,0.002,83.12836137971185,0.10935941834798803,0.6002236241474748
bike-sharing,regression,controlled_mlp,0,SoftBlockAdam-a0.1+DataInit,optimizer_equal_hpo,orthogonal_all__m6,6,False,validation,2.0,0.002,75.45174192412952,0.11071845098205305,0.4857190400362015
bike-sharing,regression,controlled_mlp,0,SoftBlockAdam-a0.1+DataInit,optimizer_equal_hpo,orthogonal_all__m6,6,False,test,2.0,0.002,83.12277851307668,0.10744253226986511,0.4857190400362015
bike-sharing,regression,controlled_mlp,0,SoftBlockAdam-a0.1+DataInit,optimizer_equal_hpo,orthogonal_all__m7,7,False,validation,2.0,0.002,75.22525923944481,0.11453838831224585,0.4944409178569913
bike-sharing,regression,controlled_mlp,0,SoftBlockAdam-a0.1+DataInit,optimizer_equal_hpo,orthogonal_all__m7,7,False,test,2.0,0.002,82.33401558843762,0.1121568054520848,0.4944409178569913
